sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,39,,良好,0,0.12,13.6,11.7,30,10,2.3,2.6,0.3,1.2,92,2023/05/29 23:00:00,0.1,12,31,0,121.760056,25.129167,1
汐止,新北市,29,,良好,1.4,0.12,8.9,10.8,27,9,6.9,8.1,1.1,2.2,33,2023/05/29 23:00:00,0.1,9,24,0,121.64081,25.06624,2
萬里,新北市,40,,良好,0,0.09,12.3,11.5,43,12,0.7,1.8,1.1,1,24,2023/05/29 23:00:00,0,11,40,0,121.689881,25.179667,3
新店,新北市,18,,良好,0.2,0.17,14.6,14.8,18,8,7.3,8.2,0.9,0.8,100,2023/05/29 23:00:00,0.2,5,18,0,121.537778,24.977222,4
土城,新北市,17,,良好,0.8,0.21,13.4,14.1,18,4,6.7,7.6,0.8,1.6,317,2023/05/29 23:00:00,0.2,5,17,0,121.451861,24.982528,5
板橋,新北市,33,,良好,0.2,0.21,13.6,12.2,20,9,6.6,8,1.3,1.5,88,2023/05/29 23:00:00,0.2,10,16,0,121.458667,25.012972,6
新莊,新北市,42,,良好,0.4,0.2,10.4,11.9,24,9,7.5,9,1.4,3.3,57,2023/05/29 23:00:00,0.1,10,42,0,121.4325,25.037972,7
菜寮,新北市,29,,良好,0.2,0.2,10.3,11.3,19,8,7,8.2,1.1,3.2,88,2023/05/29 23:00:00,0.2,8,18,0,121.481028,25.06895,8
林口,新北市,20,,良好,0.3,0.14,13.9,14.6,22,5,5.6,6.8,1.1,2.7,73,2023/05/29 23:00:00,0.1,5,20,0,121.36548982,25.07798949,9
淡水,新北市,23,,良好,1,0.11,19.5,18.4,21,7,2,2.1,0.1,,,2023/05/29 23:00:00,0.1,7,17,0,121.449239,25.1645,10
士林,臺北市,35,,良好,0.3,0.13,15.9,14,25,11,4.1,5.1,1,2.1,149,2023/05/29 23:00:00,0.1,10,23,0,121.51666356,25.10334003,11
中山,臺北市,29,,良好,0.2,0.25,7.5,8.5,30,8,9.2,13.8,4.6,2.7,113,2023/05/29 23:00:00,0.3,7,29,0,121.526528,25.062361,12
萬華,臺北市,30,,良好,0.2,0.24,7.2,9,26,10,11.7,14.8,3,2.5,81,2023/05/29 23:00:00,0.2,9,22,0,121.507972,25.046503,13
古亭,臺北市,30,,良好,1,0.09,17.2,13.7,21,8,2.2,3.4,1.2,3.3,66,2023/05/29 23:00:00,0.1,9,18,0,121.529556,25.020608,14
松山,臺北市,33,,良好,2.3,0.19,6.6,8.1,27,9,9.9,13.7,3.8,1.7,54,2023/05/29 23:00:00,0.1,10,27,,121.578611,25.05,15
大同,臺北市,52,細懸浮微粒,普通,0.7,0.39,6.1,7,36,18,9.9,21,11.1,-,-,2023/05/29 23:00:00,0.4,15,34,0,121.51342074,25.06331455,16
桃園,桃園市,32,,良好,1.1,0.22,13.1,14,22,11,7.1,7.9,0.7,3.2,42,2023/05/29 23:00:00,0.2,9,21,0,121.30500531,24.9947107,17
大園,桃園市,25,,良好,0.5,0.13,11.3,13.3,20,9,8.6,10.5,1.9,3.7,65,2023/05/29 23:00:00,0.1,7,24,0,121.20251473,25.06100357,18
觀音,桃園市,42,,良好,0.7,0.12,10.1,13.2,35,9,9.1,10.1,0.9,5.3,59,2023/05/29 23:00:00,0.1,12,42,0,121.08283092,25.03556747,19
平鎮,桃園市,20,,良好,0.4,0.21,15,16.1,25,4,6.3,6.9,0.5,3.6,61,2023/05/29 23:00:00,0.2,4,20,0,121.203986,24.952786,20
龍潭,桃園市,25,,良好,1.3,0.15,16.5,17.5,21,8,5.5,5.3,0,5.3,38,2023/05/29 23:00:00,0.1,7,18,1,121.21645772,24.86400048,21
湖口,新竹縣,19,,良好,1.2,0.15,15.4,18.1,19,9,4.8,5.3,0.5,4.6,54,2023/05/29 23:00:00,0.1,5,19,1,121.03886894,24.90009696,22
竹東,新竹縣,26,,良好,0,0.12,22.2,28.5,21,7,3.3,3.8,0.4,6.2,27,2023/05/29 23:00:00,0.1,6,20,0,121.08895493,24.74091408,23
新竹,新竹市,22,,良好,0,0.17,17.7,19.4,18,7,6.2,7,0.8,3.3,58,2023/05/29 23:00:00,0.2,6,22,0,120.97236752,24.8056356,24
頭份,苗栗縣,32,,良好,1.1,0.14,17.1,32.8,22,5,4.9,5.8,0.9,2,86,2023/05/29 23:00:00,0.1,9,27,1,120.89869286,24.69690679,25
苗栗,苗栗縣,44,,良好,2,0.16,15,47.2,14,4,5.2,6,0.8,0.9,22,2023/05/29 23:00:00,0.2,13,31,2,120.82011468,24.56499183,26
三義,苗栗縣,88,細懸浮微粒,普通,1.2,0.42,26.1,54.3,53,30,8.9,9.5,0.6,1.8,11,2023/05/29 23:00:00,0.3,30,53,1,120.75956754,24.38248443,27
豐原,臺中市,92,細懸浮微粒,普通,1.3,0.46,30.2,48.4,52,35,10,10.5,0.5,0.9,98,2023/05/29 23:00:00,0.3,32,54,2,120.74252414,24.25699731,28
沙鹿,臺中市,78,細懸浮微粒,普通,1,0.35,19,41.7,51,28,18.1,19.5,1.3,1.3,357,2023/05/29 23:00:00,0.3,26,53,1,120.568794,24.225628,29
大里,臺中市,90,細懸浮微粒,普通,3,0.53,24.9,43.7,63,27,17.4,18.3,0.9,0.6,93,2023/05/29 23:00:00,0.4,31,63,2,120.67844444,24.09961111,30
忠明,臺中市,89,細懸浮微粒,普通,4,0.59,25.1,44.2,55,27,21.2,21,0,1.3,193,2023/05/29 23:00:00,0.5,30,55,2,120.641092,24.151958,31
西屯,臺中市,93,細懸浮微粒,普通,2.4,0.5,17.5,39.3,65,32,26.5,27.5,0.9,1.2,198,2023/05/29 23:00:00,0.6,32,62,2,120.616917,24.162197,32
彰化,彰化縣,88,細懸浮微粒,普通,7.9,0.37,25.3,42.5,61,35,12,12.7,0.7,0.4,112,2023/05/29 23:00:00,0.3,30,61,2,120.541519,24.066,33
線西,彰化縣,64,細懸浮微粒,普通,1.8,0.31,16.8,29.9,60,21,10.2,11,0.8,0.4,24,2023/05/29 23:00:00,0.2,20,56,1,120.469061,24.131672,34
二林,彰化縣,62,細懸浮微粒,普通,0,0.19,7.2,28.7,50,11,7.2,7.9,0.6,0.7,178,2023/05/29 23:00:00,0.1,19,53,0,120.409653,23.925175,35
南投,南投縣,88,細懸浮微粒,普通,1.8,0.31,26.7,51.1,51,25,10.4,11.4,1,1.7,164,2023/05/29 23:00:00,0.3,30,58,1,120.685306,23.913,36
斗六,雲林縣,76,細懸浮微粒,普通,2,0.23,32.4,50.3,63,25,8.5,8.9,0.4,0.6,123,2023/05/29 23:00:00,0.2,25,57,1,120.544994,23.711853,37
崙背,雲林縣,58,細懸浮微粒,普通,1.5,0.15,7.8,28.5,33,12,5,5.4,0.3,0.3,130,2023/05/29 23:00:00,0.1,18,44,1,120.348742,23.757547,38
新港,嘉義縣,61,細懸浮微粒,普通,0.3,0.12,20.3,38.2,48,18,1.6,3.1,1.5,0.2,75,2023/05/29 23:00:00,0.1,19,50,1,120.345531,23.554839,39
朴子,嘉義縣,50,,良好,0.5,0.13,15.2,35.7,33,12,3.3,3.6,0.2,0.3,41,2023/05/29 23:00:00,0.1,15,36,0,120.2478,23.46538,40
臺西,雲林縣,49,,良好,,0.13,14.9,28.6,45,12,4.1,5.6,1.5,0.7,107,2023/05/29 23:00:00,0.1,15,46,0,120.19933333,23.702175,41
嘉義,嘉義市,60,細懸浮微粒,普通,2.3,0.25,43,48.5,52,19,7.8,8.3,0.5,0.3,82,2023/05/29 23:00:00,0.2,19,50,1,120.44125148,23.46477865,42
新營,臺南市,48,,良好,1,0.17,32.6,45.8,50,17,7,8,1,1.7,22,2023/05/29 23:00:00,0.1,14,42,1,120.31725,23.305633,43
善化,臺南市,48,,良好,1.3,0.15,32.4,43.3,35,18,6.5,7.4,0.8,0.8,7,2023/05/29 23:00:00,0.1,14,30,0,120.29740529,23.11337642,44
安南,臺南市,50,,良好,1.5,0.22,31.9,42.8,42,14,9.5,10.6,1.1,1.2,340,2023/05/29 23:00:00,0.1,15,38,1,120.2175,23.048197,45
臺南,臺南市,53,細懸浮微粒,普通,0.6,0.28,28.5,35.9,45,22,14.4,14.2,0,0.5,273,2023/05/29 23:00:00,0.2,16,39,0,120.22085,22.99123,46
美濃,高雄市,46,,良好,0.7,0.2,33.7,45.6,36,10,5.8,6.1,0.2,0.4,99,2023/05/29 23:00:00,0.2,14,36,0,120.530542,22.883583,47
橋頭,高雄市,44,,良好,1.3,0.21,32.1,40.7,35,14,9.2,9.7,0.5,0.7,47,2023/05/29 23:00:00,0.1,13,34,1,120.305689,22.757506,48
仁武,高雄市,39,,良好,0.9,0.25,31.1,40.9,32,10,11.2,12.1,0.9,1.3,316,2023/05/29 23:00:00,0.1,12,26,1,120.332631,22.689056,49
鳳山,高雄市,43,,良好,1.4,0.36,26.5,23.8,24,10,10.3,10.8,0.4,0.4,295,2023/05/29 23:00:00,0.4,13,27,2,120.357422,22.628126,50
大寮,高雄市,45,,良好,1,0.24,23.2,27.9,36,12,13.9,13.9,0,0.6,336,2023/05/29 23:00:00,0.2,13,42,2,120.425311,22.56413611,51
林園,高雄市,35,,良好,0.9,0.14,32.9,38.6,31,10,5.4,6.3,0.9,1.1,303,2023/05/29 23:00:00,0.1,10,30,1,120.41175,22.4795,52
楠梓,高雄市,42,,良好,1.5,0.21,34.3,41.3,23,14,9.3,9,0,0.6,7,2023/05/29 23:00:00,0.1,12,29,1,120.328289,22.733667,53
左營,高雄市,39,,良好,1,0.2,36.1,42.1,25,12,5.8,6.2,0.4,0.3,271,2023/05/29 23:00:00,0.1,10,28,1,120.292917,22.674861,54
前金,高雄市,37,,良好,0.1,0.17,38.1,40,20,10,4.6,5.2,0.6,1.9,326,2023/05/29 23:00:00,0.1,11,23,0,120.28676111,22.63390278,56
前鎮,高雄市,37,,良好,1.3,0.22,28.3,29,26,10,12.9,13.9,1,0.8,318,2023/05/29 23:00:00,0.2,11,31,2,120.30833356,22.6044507,57
小港,高雄市,47,,良好,2.2,0.18,15.4,31.4,30,13,28.3,29.9,1.6,1.5,288,2023/05/29 23:00:00,0.1,13,26,1,120.337736,22.565833,58
屏東,屏東縣,52,細懸浮微粒,普通,1.7,0.24,28.9,36.6,32,13,11.2,12,0.7,1.1,345,2023/05/29 23:00:00,0.3,16,38,1,120.488033,22.673081,59
潮州,屏東縣,45,,良好,0.5,0.15,23.1,37.9,28,11,6.2,6.8,0.6,0.9,101,2023/05/29 23:00:00,0.1,14,32,1,120.561175,22.523108,60
恆春,屏東縣,23,,良好,0.3,0.11,21.5,21,27,8,0.1,0.6,0.5,6.1,1,2023/05/29 23:00:00,0,7,23,0,120.788928,21.958069,61
臺東,臺東縣,68,懸浮微粒,普通,0.4,0.11,18.2,17.6,101,34,1.4,1.9,0.4,0.8,33,2023/05/29 23:00:00,0.1,19,68,0,121.15045,22.755358,62
花蓮,花蓮縣,39,,良好,0.5,0.24,12.3,14.9,42,19,3.6,4.5,0.9,0.5,43,2023/05/29 23:00:00,0.1,12,33,0,121.599769,23.971306,63
陽明,臺北市,17,,良好,0.7,0.12,21.3,18.3,11,1,0.6,1.5,0.8,,,2023/05/29 23:00:00,0.1,1,7,0,121.529583,25.182722,64
宜蘭,宜蘭縣,44,,良好,0.8,0.12,12.2,13.5,30,12,2.5,3,0.5,0.8,309,2023/05/29 23:00:00,0.1,13,34,0,121.746394,24.747917,65
冬山,宜蘭縣,32,,良好,0,0.11,9.5,11.1,23,4,1.9,3.2,1.3,1.5,251,2023/05/29 23:00:00,0.1,7,32,0,121.792928,24.632203,66
三重,新北市,37,,良好,0.6,0.68,5.4,4.8,28,14,11.2,37,25.8,-,-,2023/05/29 23:00:00,0.8,11,28,0,121.493806,25.072611,67
中壢,桃園市,29,,良好,1,0.39,10,9.8,20,14,9.5,19.3,9.8,1.5,40,2023/05/29 23:00:00,0.5,8,21,1,121.221667,24.953278,68
竹山,南投縣,85,細懸浮微粒,普通,1.1,0.21,39.9,58.9,57,25,6.1,6.2,0.1,0.4,245,2023/05/29 23:00:00,0.1,29,61,0,120.677306,23.756389,69
永和,新北市,25,,良好,0.3,0.18,15.2,13.4,21,8,3.8,5.2,1.3,2.3,98,2023/05/29 23:00:00,0.2,7,19,0,121.516306,25.017,70
復興,高雄市,37,,良好,0.8,0.27,28.4,27.1,15,12,10.9,11.9,0.9,0.3,198,2023/05/29 23:00:00,0.2,11,23,1,120.312017,22.608711,71
埔里,南投縣,104,臭氧八小時,對敏感族群不健康,1.5,0.32,52.1,72.1,60,37,4.9,5.7,0.7,0.3,338,2023/05/29 23:00:00,0.3,35,65,1,120.967903,23.968842,72
馬祖,連江縣,16,,良好,0.6,0.08,15.5,17.4,18,8,4.8,5.5,0.6,1.9,326,2023/05/29 23:00:00,0,4,11,0,119.93149378,26.15188416,75
金門,金門縣,25,,良好,1.3,0.18,14.2,25.9,13,3,5.9,6.8,0.8,2.8,40,2023/05/29 23:00:00,0.2,6,25,1,118.312256,24.432133,77
馬公,澎湖縣,30,,良好,0.3,0.09,18,23.3,30,11,1.8,2.6,0.8,5.2,28,2023/05/29 23:00:00,0.1,9,26,0,119.566158,23.569031,78
關山,臺東縣,21,,良好,0.6,0.16,16,21.2,23,7,1.8,2.4,0.6,3.7,21,2023/05/29 23:00:00,0.1,6,19,0,121.161933,23.045083,80
麥寮,雲林縣,48,,良好,1.1,0.14,12.4,30.2,44,10,5.3,5.9,0.6,0.5,3,2023/05/29 23:00:00,0.1,14,44,1,120.251825,23.753506,83
富貴角,新北市,32,,良好,0.3,0.06,16.6,16.8,32,4,1.5,1.4,0,3.6,69,2023/05/29 23:00:00,0,5,32,0,121.53656894,25.29681695,84
大城,彰化縣,47,,良好,0.5,0.13,16.1,28.1,58,14,5.6,7,1.3,0.3,224,2023/05/29 23:00:00,0.1,14,44,1,120.26964167,23.85493056,85
彰化(員林),彰化縣,84,細懸浮微粒,普通,2.1,0.34,37.4,42.5,55,29,8.5,9.4,0.9,0.3,108,2023/05/29 23:00:00,0.3,28,56,2,120.56373,23.96117,201
高雄(湖內),高雄市,46,,良好,1.4,0.23,27.2,38.3,25,18,11.4,12.7,1.3,0.7,74,2023/05/29 23:00:00,0.1,14,29,1,120.24535,22.87985556,202
臺南(麻豆),臺南市,42,,良好,0.2,0.18,27.4,41.1,38,15,8.8,9.4,0.5,0.9,355,2023/05/29 23:00:00,0.1,12,35,0,120.24583056,23.17904722,203
屏東(琉球),屏東縣,44,,良好,0.8,0.08,37.9,38.6,25,13,1.4,2,0.5,1.2,319,2023/05/29 23:00:00,0.1,13,26,1,120.37722,22.35222,204
桃園(三民),桃園市,23,,良好,1.3,0.22,18.4,18.9,25,7,4.1,5.1,1,1.5,65,2023/05/29 23:00:00,0.2,7,21,0,121.31788148,25.00132736,310
新北(樹林),新北市,27,,良好,0.1,0.26,12.1,12.1,16,9,8.7,14.3,5.5,0.1,152,2023/05/29 23:00:00,0.2,8,17,0,121.38352778,24.94902778,311
屏東(枋山),屏東縣,43,,良好,0.3,0.09,38.8,43.2,35,12,2.5,2.6,0.1,1.6,345,2023/05/29 23:00:00,0,13,34,0,120.651472,22.260899,313
